"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","x","y","geometry"
"2126",1,"XY",2023-11-29,2023,11,2024,"S86-195",939499.999998773,6590499.99999979,c(939499.999998773, 6590499.99999979)
"2127",0.927083313,"XX",2023-11-30,2023,11,2024,"S77-028",909499.999998818,6355499.99999988,c(909499.999998818, 6355499.99999988)
"2128",0.552083313,"XY",2023-11-30,2023,11,2024,"S86-038",849499.999998907,6375499.99999987,c(849499.999998907, 6375499.99999987)
"2129",0.770833313,"XY",2023-11-30,2023,11,2024,"S86-037",903499.999998827,6364499.99999988,c(903499.999998827, 6364499.99999988)
"2131",0.729166687,"XX",2023-12-01,2023,12,2024,"S78-002",903499.999998827,6274499.99999991,c(903499.999998827, 6274499.99999991)
"2132",1,"XY",2023-12-01,2023,12,2024,"S84-015",954499.999998751,6325499.99999989,c(954499.999998751, 6325499.99999989)
"2133",0.921875,"XX",2023-12-01,2023,12,2024,"S83-017",908499.999998819,6244499.99999992,c(908499.999998819, 6244499.99999992)
"2134",0.765625,"XX",2023-12-01,2023,12,2024,"S75-039",954499.999998751,6325499.99999989,c(954499.999998751, 6325499.99999989)
"2135",1,"XX",2023-12-03,2023,12,2024,"S86-004",974499.999998721,6420499.99999986,c(974499.999998721, 6420499.99999986)
"2136",1,"XY",2023-12-03,2023,12,2024,"S86-197",609499.999999265,6285499.99999991,c(609499.999999265, 6285499.99999991)
"2137",0.760416687,"XX",2023-12-03,2023,12,2024,"S79-112",1069499.99999858,6330499.99999989,c(1069499.99999858, 6330499.99999989)
"2138",1,"XX",2023-12-03,2023,12,2024,"S86-004",974499.999998721,6420499.99999986,c(974499.999998721, 6420499.99999986)
"2139",0.979166687,"XX",2023-12-04,2023,12,2024,"S86-086",944499.999998766,6305499.9999999,c(944499.999998766, 6305499.9999999)
"2140",0.947916687,"XX",2023-12-04,2023,12,2024,"S80-032",944499.999998766,6305499.9999999,c(944499.999998766, 6305499.9999999)
"2141",0.869791687,"XX",2023-12-04,2023,12,2024,"S80-032",933499.999998782,6309499.9999999,c(933499.999998782, 6309499.9999999)
"2142",0.901041687,"XX",2023-12-05,2023,12,2024,"S80-013",939499.999998773,6425499.99999985,c(939499.999998773, 6425499.99999985)
"2143",1,"XY",2023-12-05,2023,12,2024,"S86-093",894499.99999884,6440499.99999985,c(894499.99999884, 6440499.99999985)
"2144",0.640625,"XX",2023-12-05,2023,12,2024,"S77-067",964499.999998736,6265499.99999991,c(964499.999998736, 6265499.99999991)
"2145",0.90625,"XX",2023-12-06,2023,12,2024,"S88-011",909499.999998818,6375499.99999987,c(909499.999998818, 6375499.99999987)
"2146",1,"XX",2023-12-06,2023,12,2024,"S88-011",909499.999998818,6375499.99999987,c(909499.999998818, 6375499.99999987)
"2147",1,"XX",2023-12-06,2023,12,2024,"S88-085",909499.999998818,6375499.99999987,c(909499.999998818, 6375499.99999987)
"2149",0.958333313,"XX",2023-12-06,2023,12,2024,"S88-070",1004499.99999868,6390499.99999987,c(1004499.99999868, 6390499.99999987)
"2150",1,"XY",2023-12-07,2023,12,2024,"S85-021",939499.999998773,6350499.99999988,c(939499.999998773, 6350499.99999988)
"2151",1,"XX",2023-12-07,2023,12,2024,"S86-051",1024499.99999865,6350499.99999988,c(1024499.99999865, 6350499.99999988)
"2152",0.979166687,"XY",2023-12-07,2023,12,2024,"S86-045",1024499.99999865,6350499.99999988,c(1024499.99999865, 6350499.99999988)
"2153",0.713541687,"XY",2023-12-07,2023,12,2024,"S86-029",944499.999998766,6320499.99999989,c(944499.999998766, 6320499.99999989)
"2156",0.989583313,"XY",2023-12-08,2023,12,2024,"S86-014",824499.999998945,6630499.99999978,c(824499.999998945, 6630499.99999978)
"2157",1,"XY",2023-12-09,2023,12,2024,"S65-35",946499.999998763,6413499.99999986,c(946499.999998763, 6413499.99999986)
"2158",0.765625,"XY",2023-12-09,2023,12,2024,"S86-034",954499.999998751,6500499.99999983,c(954499.999998751, 6500499.99999983)
"2159",0.828125,"XY",2023-12-09,2023,12,2024,"S65-35",949499.999998758,6410499.99999986,c(949499.999998758, 6410499.99999986)
