"","date","Type","N°Ref","G+","G_session","G_sp","MODIF","GENOTYPE_TRANS","INDEX_CAL","SEQULG_ANTAGENE_DEF_SEXE","µsat_HMbrut_SEXE","Cause_mort","Age","date1","Year","mois","saisonyear","Id","SEXE","geometry","x","y"
"25",2024-11-08,"F","F0524204",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-083",0.885416686534882,"F","XX",NA,NA,2024-11-08,2025,11,2025,"S92-083","F",c(929352.499848407, 6383001.64307065),929352.499848407,6383001.64307065
"26",2024-11-08,"F","F0524205",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-084",0.90625,"F","XX",NA,NA,2024-11-08,2025,11,2025,"S92-084","F",c(929352.499848407, 6383001.64307065),929352.499848407,6383001.64307065
"27",2024-11-08,"F","F0524206",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-105",0.697916686534882,"M","XY",NA,NA,2024-11-08,2025,11,2025,"S92-105","M",c(929352.499848407, 6383001.64307065),929352.499848407,6383001.64307065
"28",2024-11-09,"F","F3824192",TRUE,2025-07-07,"Canis lupus",FALSE,"S87-078",0.963541686534882,"M","XY",NA,NA,2024-11-09,2025,11,2025,"S87-078","M",c(919352.499848407, 6413001.64307065),919352.499848407,6413001.64307065
"29",2024-11-09,"P","P4324003",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-006",1,"M","XY",NA,NA,2024-11-09,2025,11,2025,"S92-006","M",c(739352.499848407, 6418001.64307065),739352.499848407,6418001.64307065
"30",2024-11-10,"F","F7324175",TRUE,2025-05-26,"Canis lupus",FALSE,"S74-121",1,"M","XX",NA,NA,2024-11-10,2025,11,2025,"S74-121","M",c(949352.499848407, 6513001.64307065),949352.499848407,6513001.64307065
"31",2024-11-10,"F","F7324174",TRUE,2025-05-26,"Canis lupus",FALSE,"S74-121",1,"M","XX",NA,NA,2024-11-10,2025,11,2025,"S74-121","M",c(949352.499848407, 6513001.64307065),949352.499848407,6513001.64307065
"32",2024-11-11,"F","F0424347",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-070",0.921875,"M","XY",NA,NA,2024-11-11,2025,11,2025,"S92-070","M",c(944352.499848407, 6328001.64307065),944352.499848407,6328001.64307065
"33",2024-11-13,"F","F1324077",TRUE,2025-04-07,"Canis lupus",FALSE,"S69-09",0.760416686534882,"F","XX",NA,NA,2024-11-13,2025,11,2025,"S69-09","F",c(919352.499848407, 6248001.64307065),919352.499848407,6248001.64307065
"34",2024-11-14,"F","F0624178",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-011",0.885416686534882,"F","XX",NA,NA,2024-11-14,2025,11,2025,"S92-011","F",c(1074352.49984841, 6338001.64307065),1074352.49984841,6338001.64307065
